"가구주의 성별","가구주의 연령별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"가구주의 성별","가구주의 연령별",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"계","합계",17494884,17879317,18118513,18388488,18704975,19012895,19284671,19523587,19751807,19971359,20174317,20366414,20545775,20714305,20869265
