,날짜,온도
4672,20151017,18.04
4673,20151018,18.16
4674,20151019,18.65
4675,20151020,19.2
4676,20151021,19.16
4677,20151022,19.05
4678,20151023,18.86
4679,20151024,16.2
4680,20151025,16.8
4681,20151026,16.56
4682,20151027,15.5
4683,20151028,13.67
4684,20151029,13.02
4685,20151030,10.48
4686,20151031,9.14
4687,20151101,8.04
4688,20151102,10.23
4689,20151103,12.23
4690,20151104,13.07
4691,20151105,15.5
4692,20151106,15.98
4693,20151107,15.35
4694,20151108,16.68
4695,20151109,13.91
4696,20151110,11.7
4697,20151111,12.45
4698,20151112,15.12
4699,20151113,12.46
4700,20151114,14.45
4701,20151115,14.32
4702,20151116,13.94
4703,20151117,16.0
4704,20151118,13.45
4705,20151119,11.63
4706,20151120,12.9
4707,20151121,11.03
4708,20151122,12.2
4709,20151123,12.92
4710,20151124,10.13
4711,20151125,7.39
4712,20151126,1.47
4713,20151127,2.31
4714,20151128,5.02
4715,20151129,7.53
4716,20151130,8.25
4717,20151201,7.31
4718,20151202,8.4
4719,20151203,5.07
4720,20151204,4.05
4721,20151205,5.59
4722,20151206,5.38
4723,20151207,3.6
4724,20151208,5.13
4725,20151209,8.23
4726,20151210,10.74
4727,20151211,8.85
4728,20151212,8.75
4729,20151213,10.68
4730,20151214,10.51
4731,20151215,8.48
4732,20151216,3.53
4733,20151217,-1.07
4734,20151218,0.37
4735,20151219,3.24
4736,20151220,4.19
4737,20151221,6.48
4738,20151222,7.0
4739,20151223,8.45
4740,20151224,5.64
4741,20151225,3.35
4742,20151226,4.58
4743,20151227,1.44
4744,20151228,-0.24
4745,20151229,1.51
4746,20151230,2.72
4747,20151231,4.19
4748,20160101,2.94
4749,20160102,6.43
4750,20160103,7.4
4751,20160104,6.76
4752,20160105,2.52
4753,20160106,2.91
4754,20160107,2.91
4755,20160108,1.11
4756,20160109,2.54
4757,20160110,3.82
4758,20160111,1.76
4759,20160112,-0.4
4760,20160113,0.8
4761,20160114,1.55
4762,20160115,2.41
4763,20160116,4.36
4764,20160117,3.95
4765,20160118,-0.35
4766,20160119,-4.45
4767,20160120,-4.29
4768,20160121,-3.05
4769,20160122,-3.08
4770,20160123,-5.35
4771,20160124,-9.43
4772,20160125,-5.9
4773,20160126,-0.61
4774,20160127,1.98
4775,20160128,2.43
4776,20160129,3.84
4777,20160130,3.95
4778,20160131,0.02
4779,20160201,-1.92
4780,20160202,-2.08
4781,20160203,-0.41
4782,20160204,0.56
4783,20160205,1.22
4784,20160206,-0.23
4785,20160207,-0.46
4786,20160208,2.39
4787,20160209,4.28
4788,20160210,4.77
4789,20160211,10.3
4790,20160212,13.53
4791,20160213,14.85
4792,20160214,1.43
