"광주","제조업(10~34)",11535,11572
"광주","전기, 가스, 증기 및 공기조절 공급업(35)",1685,1711
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",240,250
"광주","건설업(41~42)",15341,15769
"광주","도매 및 소매업(45~47)",44759,43193
"광주","운수 및 창고업(49~52)",17428,18986
"광주","숙박 및 음식점업(55~56)",22795,22526
"광주","정보통신업(58~63)",1684,1820
"광주","금융 및 보험업(64~66)",2005,2026
"광주","부동산업(68)",9243,9332
"광주","전문, 과학 및 기술 서비스업(70~73)",5559,5762
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4127,4009
"광주","공공행정, 국방 및 사회보장 행정(84)",271,273
"광주","교육 서비스업(85)",7718,7980
"광주","보건업 및 사회복지 서비스업(86~87)",5220,5316
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)",4581,4631
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",15770,15691
"대전","전체 산업",164406,164095
"대전","농업, 임업 및 어업(01~03)",91,96
"대전","광업(05~08)",10,10
"대전","제조업(10~34)",11049,11047
"대전","전기, 가스, 증기 및 공기조절 공급업(35)",390,455
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",227,230
"대전","건설업(41~42)",13025,13145
"대전","도매 및 소매업(45~47)",45329,43994
"대전","운수 및 창고업(49~52)",16862,17999
"대전","숙박 및 음식점업(55~56)",23831,23357
"대전","정보통신업(58~63)",2791,2898
"대전","금융 및 보험업(64~66)",1732,1695
"대전","부동산업(68)",7110,7297
"대전","전문, 과학 및 기술 서비스업(70~73)",5765,5806
"대전","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4195,3954
"대전","공공행정, 국방 및 사회보장 행정(84)",278,278
"대전","교육 서비스업(85)",6991,7382
"대전","보건업 및 사회복지 서비스업(86~87)",5078,5141
"대전","예술, 스포츠 및 여가관련 서비스업(90~91)",4313,4250
"대전","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",15339,15061
"울산","전체 산업",117247,115408
"울산","농업, 임업 및 어업(01~03)",92,101
"울산","광업(05~08)",18,16
"울산","제조업(10~34)",10235,10025
"울산","전기, 가스, 증기 및 공기조절 공급업(35)",243,264
"울산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",313,314
"울산","건설업(41~42)",9915,9929
"울산","도매 및 소매업(45~47)",27191,26003
"울산","운수 및 창고업(49~52)",12618,12621
"울산","숙박 및 음식점업(55~56)",21110,20519
"울산","정보통신업(58~63)",732,773
"울산","금융 및 보험업(64~66)",1161,1133
"울산","부동산업(68)",4778,4912
"울산","전문, 과학 및 기술 서비스업(70~73)",3267,3156
"울산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2977,2693
"울산","공공행정, 국방 및 사회보장 행정(84)",207,211
"울산","교육 서비스업(85)",5585,5910
"울산","보건업 및 사회복지 서비스업(86~87)",3052,3106
"울산","예술, 스포츠 및 여가관련 서비스업(90~91)",3193,3143
"울산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",10560,10579
"세종","전체 산업",28490,30478
"세종","농업, 임업 및 어업(01~03)",84,87
"세종","광업(05~08)",11,8
"세종","제조업(10~34)",1764,1841
"세종","전기, 가스, 증기 및 공기조절 공급업(35)",299,347
"세종","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",96,101
"세종","건설업(41~42)",2130,2214
"세종","도매 및 소매업(45~47)",5989,6310
"세종","운수 및 창고업(49~52)",1967,2230
"세종","숙박 및 음식점업(55~56)",4442,4583
"세종","정보통신업(58~63)",609,708
"세종","금융 및 보험업(64~66)",240,259
"세종","부동산업(68)",2630,2745
"세종","전문, 과학 및 기술 서비스업(70~73)",1108,1237
"세종","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",784,782
"세종","공공행정, 국방 및 사회보장 행정(84)",138,161
"세종","교육 서비스업(85)",2322,2641
"세종","보건업 및 사회복지 서비스업(86~87)",954,1016
"세종","예술, 스포츠 및 여가관련 서비스업(90~91)",748,870
"세종","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2175,2338
"경기","전체 산업",1455644,1481054
"경기","농업, 임업 및 어업(01~03)",1700,1649
"경기","광업(05~08)",123,116
"경기","제조업(10~34)",184016,184432
"경기","전기, 가스, 증기 및 공기조절 공급업(35)",5307,6090
"경기","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",3455,3538
"경기","건설업(41~42)",111359,113884
"경기","도매 및 소매업(45~47)",374438,376406
"경기","운수 및 창고업(49~52)",149340,155809
"경기","숙박 및 음식점업(55~56)",180827,181248
"경기","정보통신업(58~63)",28719,31523
"경기","금융 및 보험업(64~66)",10396,10337
"경기","부동산업(68)",76086,80072
"경기","전문, 과학 및 기술 서비스업(70~73)",50467,53057
"경기","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",38974,36130
"경기","공공행정, 국방 및 사회보장 행정(84)",1871,1924
"경기","교육 서비스업(85)",59752,64609
"경기","보건업 및 사회복지 서비스업(86~87)",37112,38264
"경기","예술, 스포츠 및 여가관련 서비스업(90~91)",35417,35761
"경기","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",106285,106205
"강원","전체 산업",193074,200365
"강원","농업, 임업 및 어업(01~03)",994,964
"강원","광업(05~08)",226,214
"강원","제조업(10~34)",10497,10682
"강원","전기, 가스, 증기 및 공기조절 공급업(35)",4618,5455
"강원","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",625,638
"강원","건설업(41~42)",22400,24044
"강원","도매 및 소매업(45~47)",44280,44218
"강원","운수 및 창고업(49~52)",13812,14773
"강원","숙박 및 음식점업(55~56)",42471,43120
"강원","정보통신업(58~63)",1417,2134
"강원","금융 및 보험업(64~66)",1884,1864
"강원","부동산업(68)",5457,5912
"강원","전문, 과학 및 기술 서비스업(70~73)",4242,4462
"강원","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4267,4309
"강원","공공행정, 국방 및 사회보장 행정(84)",782,783
"강원","교육 서비스업(85)",7213,7615
"강원","보건업 및 사회복지 서비스업(86~87)",4922,5363
"강원","예술, 스포츠 및 여가관련 서비스업(90~91)",5161,5387
"강원","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",17806,18428
"충북","전체 산업",191265,194561
"충북","농업, 임업 및 어업(01~03)",780,833
"충북","광업(05~08)",122,113
"충북","제조업(10~34)",18488,18644
"충북","전기, 가스, 증기 및 공기조절 공급업(35)",5214,6322
"충북","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",685,690
"충북","건설업(41~42)",19431,20614
"충북","도매 및 소매업(45~47)",44841,43719
"충북","운수 및 창고업(49~52)",18798,19281
"충북","숙박 및 음식점업(55~56)",31621,31446
"충북","정보통신업(58~63)",1284,1402
"충북","금융 및 보험업(64~66)",1568,1552
"충북","부동산업(68)",6304,6497
"충북","전문, 과학 및 기술 서비스업(70~73)",4202,4432
