"행정구역별","산업별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)",6953,6951,6848,6672,6599,6271,6819,7228,7261,7239,7117
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",28542,28605,28775,28836,28715,28179,28359,29027,29539,29572,29761
"대구","전체 산업",183115,188300,192599,195716,198762,200069,205318,209376,210547,210944,214909
"대구","농업, 임업 및 어업(01~03)",10,8,10,13,20,22,16,15,18,22,31
"대구","광업(05~08)",3,5,10,10,11,8,9,8,6,6,7
"대구","제조업(10~34)",23858,24445,25603,25932,26574,27551,27511,27387,26961,26600,27088
"대구","전기, 가스, 증기 및 공기조절 공급업(35)",28,28,30,32,44,45,53,60,77,104,128
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",230,257,285,294,321,322,332,329,341,365,362
"대구","건설업(41~42)",4903,5138,5390,5796,6196,6481,6734,6748,6795,6772,7231
"대구","도매 및 소매업(45~47)",48846,50035,51908,52688,53760,54072,55387,55729,55470,54735,55527
"대구","운수 및 창고업(49~52)",19474,20724,19349,19930,20181,19737,19704,21171,21094,21059,21090
"대구","숙박 및 음식점업(55~56)",30980,31583,32223,32466,32415,32566,33787,34435,35154,35707,37259
"대구","정보통신업(58~63)",893,978,1031,1064,1173,1239,1272,1274,1254,1284,1362
"대구","금융 및 보험업(64~66)",2135,2173,2220,2225,2183,2186,2226,2252,2185,2176,2099
"대구","부동산업(68)",4405,4616,4874,5092,5535,5861,6440,6827,7243,7699,8212
"대구","전문, 과학 및 기술 서비스업(70~73)",3442,3656,3943,4067,4346,4551,4638,4636,4839,4930,5203
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2363,2505,2675,2748,2887,2940,2975,2979,3029,3052,3140
"대구","공공행정, 국방 및 사회보장 행정(84)",418,419,423,423,425,445,447,450,449,449,442
"대구","교육 서비스업(85)",10486,10649,10574,10584,10369,10143,10632,10835,10957,11090,10885
"대구","보건업 및 사회복지 서비스업(86~87)",5267,5575,5939,6203,6397,6284,6806,7026,7100,7285,7183
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)",5432,5446,5527,5469,5380,5112,5592,5892,5971,6010,5846
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",19942,20060,20585,20680,20545,20504,20757,21323,21604,21599,21814
"인천","전체 산업",163653,169419,177196,177988,183593,186011,191566,196705,202493,206244,216249
"인천","농업, 임업 및 어업(01~03)",19,18,19,22,30,27,27,33,36,47,66
"인천","광업(05~08)",29,28,30,32,38,32,34,35,32,31,31
"인천","제조업(10~34)",20518,21219,22539,22566,23667,24762,24738,24826,25235,25190,26123
"인천","전기, 가스, 증기 및 공기조절 공급업(35)",52,53,54,56,58,58,57,63,67,71,76
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",337,363,390,402,444,452,449,452,495,516,529
"인천","건설업(41~42)",4511,4755,4885,4911,5193,5346,5561,5859,6278,6463,7205
"인천","도매 및 소매업(45~47)",39438,40789,42278,42640,44334,45181,45898,46705,47008,46874,49191
"인천","운수 및 창고업(49~52)",20054,21083,23400,22755,23081,23238,24271,24187,26111,26774,27777
"인천","숙박 및 음식점업(55~56)",29839,30760,31708,32198,33116,33295,34301,35316,36043,37321,40245
"인천","정보통신업(58~63)",519,593,658,676,801,854,861,947,1023,1089,1260
"인천","금융 및 보험업(64~66)",1559,1591,1644,1652,1651,1685,1720,1770,1802,1771,1723
"인천","부동산업(68)",6971,6876,6656,6503,6676,6662,7274,7729,8175,8523,9229
"인천","전문, 과학 및 기술 서비스업(70~73)",2401,2613,2775,2864,3113,3284,3351,3498,3840,4105,4523
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2041,2255,2389,2505,2724,2807,2788,2919,3029,3142,3466
"인천","공공행정, 국방 및 사회보장 행정(84)",447,441,445,449,448,473,479,483,485,486,488
"인천","교육 서비스업(85)",6815,7017,7064,7168,7308,7378,7708,8067,8321,8553,8510
"인천","보건업 및 사회복지 서비스업(86~87)",4816,5230,5734,6082,6505,6499,7005,7333,7384,7586,7541
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)",5694,5866,5922,5849,5707,5421,6052,6684,6882,6968,7044
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",17593,17869,18606,18658,18699,18557,18992,19799,20247,20734,21222
"광주","전체 산업",99976,102386,105931,108808,111285,113424,116046,118409,119617,123706,125295
"광주","농업, 임업 및 어업(01~03)",15,19,25,16,18,21,22,25,34,27,50
"광주","광업(05~08)",7,11,10,12,14,13,9,7,7,8,7
"광주","제조업(10~34)",7488,7702,7902,8092,8547,8770,8870,8983,9105,9266,9358
"광주","전기, 가스, 증기 및 공기조절 공급업(35)",19,23,35,37,51,55,75,114,206,324,340
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",127,140,153,155,180,176,163,161,161,176,183
"광주","건설업(41~42)",3451,3636,3877,4214,4749,4898,4935,5127,5353,5463,5865
"광주","도매 및 소매업(45~47)",27151,27848,28932,29687,30620,31179,31542,31636,31616,31799,32413
"광주","운수 및 창고업(49~52)",9440,9347,9556,10109,9718,10476,10513,10056,9774,11308,10465
"광주","숙박 및 음식점업(55~56)",16886,17236,17759,18032,18348,18816,19317,19896,20044,20742,21965
"광주","정보통신업(58~63)",625,703,785,805,803,832,815,862,878,909,938
"광주","금융 및 보험업(64~66)",1388,1453,1486,1458,1484,1460,1499,1591,1557,1564,1514
"광주","부동산업(68)",2739,2874,3114,3283,3598,3844,4283,4680,5149,5575,5825
"광주","전문, 과학 및 기술 서비스업(70~73)",2087,2226,2404,2543,2804,2978,3016,3071,3238,3490,3652
