"행정구역별","산업별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"전북","도매 및 소매업(45~47)",34473,35631,36946,37810,39600,40529,40191,39818,40128,40113,40814
"전북","운수 및 창고업(49~52)",11989,11890,14174,15007,14986,14530,13947,13309,13286,14031,13010
"전북","숙박 및 음식점업(55~56)",22501,23170,24353,24744,25455,25972,26268,26932,27692,28331,29816
"전북","정보통신업(58~63)",611,671,685,714,755,769,792,789,838,889,936
"전북","금융 및 보험업(64~66)",1591,1631,1696,1695,1707,1680,1709,1710,1714,1715,1711
"전북","부동산업(68)",2827,3062,3190,3287,3489,3622,3884,4095,4274,4393,4512
"전북","전문, 과학 및 기술 서비스업(70~73)",1892,2098,2257,2423,2677,2770,2880,2934,3112,3221,3413
"전북","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1625,1831,1948,2093,2313,2361,2444,2502,2580,2684,2716
"전북","공공행정, 국방 및 사회보장 행정(84)",887,883,885,884,883,889,896,898,902,904,890
"전북","교육 서비스업(85)",7169,7332,7447,7475,7599,7494,7599,7597,7705,7780,7600
"전북","보건업 및 사회복지 서비스업(86~87)",4776,5054,5417,5614,5827,5833,6110,6217,6252,6352,6252
"전북","예술, 스포츠 및 여가관련 서비스업(90~91)",3352,3401,3455,3470,3542,3492,3779,4043,4187,4367,4266
"전북","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",16335,16679,17337,17473,17520,17549,17682,17994,18337,18670,18887
"전남","전체 산업",125395,128465,132892,136888,142931,147196,149713,153280,156914,161883,163774
"전남","농업, 임업 및 어업(01~03)",341,360,364,392,503,521,583,614,642,711,916
"전남","광업(05~08)",1000,996,1017,1033,1032,1057,1063,1054,1006,862,821
"전남","제조업(10~34)",10995,11329,11632,12125,13024,13309,13313,13489,14014,14537,14363
"전남","전기, 가스, 증기 및 공기조절 공급업(35)",141,140,158,166,197,213,249,260,338,460,605
"전남","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",380,419,456,493,546,553,554,569,585,607,604
"전남","건설업(41~42)",4132,4456,4710,5684,6505,6782,6936,6947,7298,7752,8303
"전남","도매 및 소매업(45~47)",35467,35823,37017,38230,39870,41247,41296,41835,42209,42532,42672
"전남","운수 및 창고업(49~52)",9003,9320,9739,9370,10223,11197,11295,11629,11690,12815,12517
"전남","숙박 및 음식점업(55~56)",26108,26870,27884,28598,29576,30166,30763,31772,32584,33360,34719
"전남","정보통신업(58~63)",695,713,731,737,757,766,783,839,884,962,991
"전남","금융 및 보험업(64~66)",1651,1677,1714,1720,1702,1712,1722,1727,1727,1732,1725
"전남","부동산업(68)",1576,1689,1798,1911,2048,2182,2465,2744,2986,3288,3444
"전남","전문, 과학 및 기술 서비스업(70~73)",1572,1708,1791,1933,2079,2214,2284,2311,2498,2756,2944
"전남","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1319,1463,1584,1753,1998,2046,2204,2316,2442,2698,2761
"전남","공공행정, 국방 및 사회보장 행정(84)",1198,1211,1218,1230,1239,1256,1254,1255,1267,1266,1254
"전남","교육 서비스업(85)",6143,6190,6217,6184,6094,6157,6273,6380,6481,6574,6307
"전남","보건업 및 사회복지 서비스업(86~87)",4323,4499,4756,4966,5208,5261,5599,5762,5811,5913,5779
"전남","예술, 스포츠 및 여가관련 서비스업(90~91)",3526,3581,3608,3655,3624,3526,3859,4145,4304,4445,4332
"전남","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",15825,16021,16498,16708,16706,17031,17218,17632,18148,18613,18717
"경북","전체 산업",186690,193361,199544,205730,213809,218795,222536,226079,232030,236807,242103
"경북","농업, 임업 및 어업(01~03)",281,282,282,332,365,376,419,448,501,524,665
"경북","광업(05~08)",118,124,118,123,139,146,143,150,143,141,124
"경북","제조업(10~34)",19974,20952,22353,23994,26346,27756,28346,28663,29217,29986,30522
"경북","전기, 가스, 증기 및 공기조절 공급업(35)",82,96,96,101,123,123,152,189,248,310,531
"경북","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",579,635,703,777,847,880,869,864,941,974,982
"경북","건설업(41~42)",6222,6789,7247,8085,8918,9350,9523,9564,9958,10360,10963
"경북","도매 및 소매업(45~47)",46758,48128,49568,50862,52817,54865,54806,55060,55670,56514,57083
"경북","운수 및 창고업(49~52)",15592,16396,16380,16667,17126,17456,17323,18102,19092,19435,20801
"경북","숙박 및 음식점업(55~56)",42389,43488,44483,45252,46270,46790,47424,48040,49681,50490,52562
"경북","정보통신업(58~63)",857,907,976,991,1053,1054,1123,1149,1173,1234,1279
"경북","금융 및 보험업(64~66)",2233,2292,2321,2329,2295,2291,2326,2328,2316,2293,2268
"경북","부동산업(68)",3227,3432,3668,3853,4294,4514,5068,5411,5594,5676,5763
"경북","전문, 과학 및 기술 서비스업(70~73)",2389,2590,2775,3023,3253,3383,3546,3583,3849,4074,4274
"경북","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1941,2216,2427,2701,3034,3193,3342,3311,3408,3647,3638
"경북","공공행정, 국방 및 사회보장 행정(84)",1229,1236,1244,1249,1240,1296,1302,1302,1304,1302,1270
"경북","교육 서비스업(85)",9370,9544,9491,9469,9463,9395,9485,9532,9757,9955,9673
"경북","보건업 및 사회복지 서비스업(86~87)",5656,6016,6556,6800,7088,6974,7466,7690,7774,7959,7758
"경북","예술, 스포츠 및 여가관련 서비스업(90~91)",5297,5435,5465,5536,5564,5322,5869,6191,6344,6492,6268
"경북","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",22496,22803,23391,23586,23574,23631,24004,24502,25060,25441,25679
"경남","전체 산업",224640,230794,242121,248911,258710,262947,268902,274490,281685,286752,294973
"경남","농업, 임업 및 어업(01~03)",196,212,214,255,297,315,316,336,366,395,495
"경남","광업(05~08)",59,59,63,67,85,92,94,89,85,87,81
"경남","제조업(10~34)",27017,28770,30987,32103,34543,36504,36679,36668,37048,38352,39325
"경남","전기, 가스, 증기 및 공기조절 공급업(35)",74,69,82,84,103,119,132,157,203,291,379
"경남","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",558,626,695,732,788,837,786,799,869,916,944
"경남","건설업(41~42)",6972,7549,7915,8562,9522,9560,9876,9973,10157,10495,11187
"경남","도매 및 소매업(45~47)",54610,55928,58322,60091,62170,64065,64408,65162,65898,66322,67608
"경남","운수 및 창고업(49~52)",17612,15823,18654,19281,20431,20293,20703,20856,22229,22275,23439
"경남","숙박 및 음식점업(55~56)",50786,52432,53301,54663,56007,56405,58145,59762,61806,62642,65811
"경남","정보통신업(58~63)",916,970,1053,1060,1110,1114,1121,1163,1164,1250,1365
"경남","금융 및 보험업(64~66)",2630,2724,2731,2728,2727,2739,2772,2849,2827,2790,2730
"경남","부동산업(68)",5672,6128,6443,6742,7310,7594,8542,9130,9275,9254,9422
"경남","전문, 과학 및 기술 서비스업(70~73)",3309,3659,3972,4130,4483,4734,4807,4793,5183,5563,5885
"경남","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2512,2817,3078,3320,3695,3728,3827,3857,4089,4385,4686
"경남","공공행정, 국방 및 사회보장 행정(84)",1029,1035,1047,1059,1066,1066,1066,1060,1058,1067,1052
"경남","교육 서비스업(85)",12320,12595,12635,12612,12587,12452,12741,13085,13372,13659,13494
"경남","보건업 및 사회복지 서비스업(86~87)",7309,7763,8382,8630,8888,8578,9108,9340,9498,9627,9418
"경남","예술, 스포츠 및 여가관련 서비스업(90~91)",6196,6243,6303,6310,6339,6183,6804,7360,7492,7555,7309
"경남","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",24863,25392,26244,26482,26559,26569,26975,28051,29066,29827,30343
"제주","전체 산업",45830,47144,49252,51727,53897,55155,57791,60063,62871,66098,68491
"제주","농업, 임업 및 어업(01~03)",374,374,360,387,407,396,382,359,368,370,400
"제주","광업(05~08)",15,15,14,12,11,16,13,13,11,12,10
"제주","제조업(10~34)",2067,2106,2202,2285,2355,2449,2425,2418,2556,2658,2703
"제주","전기, 가스, 증기 및 공기조절 공급업(35)",19,20,18,20,21,21,28,31,43,53,58
"제주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",76,80,77,80,99,98,111,112,104,116,120
"제주","건설업(41~42)",1342,1446,1569,1817,2069,2313,2545,2534,2601,2538,2709
"제주","도매 및 소매업(45~47)",11872,12253,12828,13456,13799,14109,14113,14383,14679,15252,15561
"제주","운수 및 창고업(49~52)",5805,5784,5835,5820,5866,5206,5769,5810,5824,6156,6325
"제주","숙박 및 음식점업(55~56)",10815,11165,11778,12659,13579,14515,15567,17006,18498,19822,21083
"제주","정보통신업(58~63)",223,239,259,277,299,312,337,325,339,359,407
"제주","금융 및 보험업(64~66)",614,630,646,650,653,645,664,657,653,653,646
"제주","부동산업(68)",695,744,827,955,1164,1387,1749,1991,2099,2152,2198
"제주","전문, 과학 및 기술 서비스업(70~73)",668,706,770,866,940,974,1098,1119,1218,1373,1486
"제주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1088,1184,1280,1351,1504,1566,1622,1598,1642,1723,1775
"제주","공공행정, 국방 및 사회보장 행정(84)",209,204,207,214,213,208,213,209,213,212,209
"제주","교육 서비스업(85)",2322,2395,2493,2541,2550,2555,2587,2584,2679,2851,2842
"제주","보건업 및 사회복지 서비스업(86~87)",1471,1524,1608,1710,1788,1763,1835,1898,1956,2037,2019
"제주","예술, 스포츠 및 여가관련 서비스업(90~91)",1393,1448,1479,1502,1497,1466,1555,1668,1801,1945,1998
"제주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",4762,4827,5002,5125,5083,5156,5178,5348,5587,5816,5942
