index,1,2,3,4,5,6,7,8,9,10,11,12
2017,15858191,16071033,13945112,12862206,11503854,12078520,13842981,14968181,13324832,11592825,12637353,15871743
2018,17757721,17825772,14555413,13332843,12338899,12970750,14353851,16691676,14240870,11997435,13075968,15410402
2019,17521164,16275727,14161053,13729861,12515413,12861859,14069431,15936587,14501529,12735128,13016946,15443974
2020,16670844,15900526,13991851,12791590,12088758,13021164,13921289,15080828,14482785,12127048,12899099,15091116
2021,17261172,16078830,13874805,13027365,12269031,13193189,14768535,16022092,14177906,12927134,13422487,16184961
2022,17268590,17259071,14995248,13888479,12991262,13916496,15989310,16921085,15055399,13327136,13561024,16265143
