index,1,2,3,4,5,6,7,8,9,10,11,12
2017.1,5818186,5908998,5114346,5350759,4948471,5026250,5736415,6973292,5664935,4994141,5302270,5679295
2018.1,6136060,6221352,5325911,5452621,5108532,5264769,5871826,8604195,6395701,5125615,5442897,5737751
2019.1,6246092,6141410,5350982,5603580,5213450,5294324,5609729,7587965,6648797,5415086,5519641,5824352
2020.1,6260807,6272697,5873037,5928230,5564985,5758492,5986731,7171231,7643034,5598894,5821666,6193771
2021.1,6939746,6686344,5752803,5909629,5595151,5839039,6764393,9022496,6933290,5908029,5989354,6218112
2022.1,6859671,6832528,6026915,6097477,5606749,5810430,7335045,8720533,7184447,5864059,5922541,6297175
