num,연도,local_id,주거용,업무용,산업용
97,2015,23,3662380,7266540,12282800
98,2016,23,3819580,7738040,12318200
99,2017,23,3856850,8076160,12582300
100,2018,23,4112200,8558320,12251400
101,2019,23,4121500,8574750,11584400
102,2020,23,4294880,8262540,11081200
103,2021,23,4586790,8516170,11798200
104,2022,23,4704960,9108880,11693000
