"월별(1)",2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"월별(1)",합계,가정용,공공용,서비스업 및 기타,농림어업,광업,제조업,합계,가정용,공공용,서비스업 및 기타,농림어업,광업,제조업,합계,가정용,공공용,서비스업 및 기타,농림어업,광업,제조업,합계,가정용,공공용,서비스업 및 기타,농림어업,광업,제조업,합계,가정용,공공용,서비스업 및 기타,농림어업,광업,제조업,합계,가정용,공공용,서비스업 및 기타,농림어업,광업,제조업
"월별(1)",판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh),판매량 (MWh)
"합계",507746386,66517357,23604528,140952297,15981131,1746244,258944828,526149160,70687230,24568575,149983025,17126089,1478380,262305861,520498738,70455408,24458147,148310526,17304666,1492515,258477476,509269715,74073575,23622905,144443993,17036659,1552100,248540483,533430811,77558386,25025912,148181597,18496161,1806892,262361863,547932742,78557569,26218458,155219784,19285373,1758985,266892573
"1월",45196953,5818186,2242732,13615459,1551606,152302,21816668,48361740,6136060,2512533,15245188,1734393,124326,22609240,48644909,6246092,2490071,15031093,1801466,131193,22944994,46326914,6260807,2391443,14279401,1656826,127894,21610543,48755561,6939746,2625675,14635497,1892246,150194,22512203,49802219,6859671,2663763,14604827,1948932,158433,23566593
"2월",44422400,5908998,2223466,13847567,1664694,143111,20634564,46749816,6221352,2459523,15366249,1839290,113269,20750133,44353990,6141410,2212197,14063530,1783153,109407,20044293,44498866,6272697,2188730,13711796,1644481,122954,20558208,45187963,6686344,2330217,13748613,1804364,139042,20479383,47541471,6832528,2437537,14821534,1969352,140168,21340353
"3월",42558535,5114346,2055510,11889602,1423129,158768,21917181,42936450,5325911,2087112,12468301,1477822,121598,21455706,43089013,5350982,2043806,12117247,1489767,123191,21964020,42870787,5873037,1934168,12057683,1463458,127250,21415191,43074366,5752803,2108420,11766385,1484663,152094,21810002,45836806,6026915,2269299,12725949,1677624,153091,22983927
"4월",40811060,5350759,1866996,10995210,1282616,156978,21158500,42032551,5452621,1870357,11462486,1299131,125971,21821985,42440870,5603580,1987117,11742744,1393877,129241,21584311,40475291,5928230,1707567,11084023,1355768,131670,20268033,41899677,5909629,1915657,11111708,1358139,159266,21445278,43758280,6097477,2026809,11861670,1476291,152037,22143996
"5월",38743894,4948471,1606449,9897405,1051543,153789,21086238,40530519,5108532,1697216,10641683,1082535,123668,21876885,40708218,5213450,1737244,10778169,1188195,124602,21666558,38327716,5564985,1611359,10477399,1218310,119051,19336612,40842275,5595151,1743020,10526011,1228524,151343,21598226,42204994,5606749,1802395,11188867,1314207,145967,22146809
"6월",39672664,5026250,1734025,10344495,1150035,256663,21161196,41045645,5264769,1797238,11173512,1156084,123942,21530100,40620016,5294324,1802440,11059419,1225693,121321,21116819,39752892,5758492,1782625,11238539,1255708,121045,19596483,42031874,5839039,1896257,11296932,1275817,152713,21571116,43015061,5810430,1948988,11967508,1429852,141004,21717279
