num,연도,local_id,주거용,업무용,산업용
65,2015,24,1880747,3555976,2897150
66,2016,24,1948144,3664480,2945743
67,2017,24,1954876,3740500,2988274
68,2018,24,2056435,3846709,2870668
69,2019,24,2038974,3781402,2782921
70,2020,24,2154034,3690145,2686929
71,2021,24,2215918,3840898,2916630
72,2022,24,2249750,3475436,2882415
