구분,주거용,Unnamed: 4,Unnamed: 33,합계
대전,2019639.0,5056112.949,2329469.051,9405221.0
부산,4837487.0,8666639.493,6999842.507,20503969.0
서울,13982706.0,30292410.48,1512809.517,45787926.0
