구분,주거용,Unnamed: 4,Unnamed: 33,합계
대전,2102655.0,5219786.0,2426179.676,9748620.676
부산,4974889.0,8787262.028,7305681.972,21067833.0
서울,14656127.0,31074389.276,1565290.724,47295807.0
