구분,주거용,Unnamed: 4,Unnamed: 26,합계
대전,1938645.551,5107237.12,2369816.688,9415699.359
부산,4624741.633,8866658.428,7311009.716,20802409.777
서울,13499067.204,32037946.86,1630192.258,47167206.322
